5000001,Ganesh1,143777.14
5000002,Ganesh2,367477.44
5000003,Ganesh3,349503.94
5000004,Ganesh4,346647.97
5000005,Ganesh5,474471.25
5000006,Ganesh6,279975.75
5000007,Ganesh7,64532.41
5000008,Ganesh8,453607.4
5000009,Ganesh9,239730.6
5000010,Ganesh10,101855.086
5000011,Ganesh11,51554.89
5000012,Ganesh12,365908.78
5000013,Ganesh13,406177.72
5000014,Ganesh14,94884.56
5000015,Ganesh15,157585.5
5000016,Ganesh16,493038.38
5000017,Ganesh17,162632.05
5000018,Ganesh18,40813.86
5000019,Ganesh19,433049.88
5000020,Ganesh20,341851.38
5000021,Ganesh21,390723.84
5000022,Ganesh22,331473.2
5000023,Ganesh23,57168.457
5000024,Ganesh24,16776.855
5000025,Ganesh25,182519.97
5000026,Ganesh26,363167.9
5000027,Ganesh27,94705.71
5000028,Ganesh28,333858.7
5000029,Ganesh29,182584.25
5000030,Ganesh30,12091.387
5000031,Ganesh31,782883.94
5000032,Ganesh32,522176.28
5000033,Ganesh33,656417.44
5000034,Ganesh34,665364.3
5000035,Ganesh35,618794.56
5000036,Ganesh36,730590.56
5000037,Ganesh37,926623.7
5000038,Ganesh38,929539.56
5000039,Ganesh39,510067.3
5000040,Ganesh40,509515.28
5000041,Ganesh41,500845.97
5000042,Ganesh42,672194.4
5000043,Ganesh43,628918.75
5000044,Ganesh44,512734.9
5000045,Ganesh45,881963.75
5000046,Ganesh46,860103.4
5000047,Ganesh47,999601.5
5000048,Ganesh48,688122.4
5000049,Ganesh49,580465.5
5000050,Ganesh50,870219.1
5000051,Ganesh51,661878.06
5000052,Ganesh52,553880.56
5000053,Ganesh53,603504.6
5000054,Ganesh54,696451.9
5000055,Ganesh55,530394.0
5000056,Ganesh56,977005.44
5000057,Ganesh57,845681.44
5000058,Ganesh58,878475.6
5000059,Ganesh59,851795.2
5000060,Ganesh60,814526.3
5000061,Ganesh61,571957.25
5000062,Ganesh62,716689.75
5000063,Ganesh63,821318.94
5000064,Ganesh64,500022.6
5000065,Ganesh65,964808.4
5000066,Ganesh66,688585.25
5000067,Ganesh67,958679.7
5000068,Ganesh68,610440.44
5000069,Ganesh69,630318.8
5000070,Ganesh70,901988.9
5000071,Ganesh71,1168433.8
5000072,Ganesh72,1857552.4
5000073,Ganesh73,1704933.2
5000074,Ganesh74,1297048.5
5000075,Ganesh75,1823829.1
5000076,Ganesh76,1720187.8
5000077,Ganesh77,1863638.0
5000078,Ganesh78,1702565.9
5000079,Ganesh79,1275349.2
5000080,Ganesh80,1960777.9
5000081,Ganesh81,1255896.9
5000082,Ganesh82,1964106.2
5000083,Ganesh83,1138481.8
5000084,Ganesh84,1579289.1
5000085,Ganesh85,1919422.8
5000086,Ganesh86,1127973.9
5000087,Ganesh87,1327819.9
5000088,Ganesh88,1679580.1
5000089,Ganesh89,1197276.1
5000090,Ganesh90,1899468.1
5000091,Ganesh91,1820173.5
5000092,Ganesh92,1206144.0
5000093,Ganesh93,1785104.1
5000094,Ganesh94,1841344.1
5000095,Ganesh95,1788678.8
5000096,Ganesh96,1199551.6
5000097,Ganesh97,1185402.0
5000098,Ganesh98,1777302.8
5000099,Ganesh99,1588858.6
5000100,Ganesh100,1385486.6
